Tweet,PositiveWord,NegativeWords,TotalPostive,TotalNegative,Polarity
covid tests then group makeout sesh,nan,nan,0,0,neutral
 stalbertgazette that video was three years ago and researchers developed a mrna vaccine that works by 2020 it wi ,['works'],nan,1,0,Positive
 nomaddadmatt rexchapman maybe shovel a snow bank and find a few,nan,nan,0,0,neutral
 frostnhstaterep i got the moderna vaccine the other day the only side effect i had was feeling like i got wallope ,['like'],nan,1,0,Positive
 no 10 was a plague pit how covid brought westminster to its knees ,nan,['plague'],0,1,Negative
rt tlstmorgenstern snow regina isn t answering her phone emma i ll call snow your father and i have both tried six times each what ma ,nan,nan,0,0,neutral
rt lavorabarnes icymi gov gretchenwhitmer signed the following provisions into law this week 2 25 hour wage increase for direct ca ,nan,nan,0,0,neutral
durham reports 39 new covid 19 cases on friday ,nan,nan,0,0,neutral
flower snow ,nan,nan,0,0,neutral
rt vp every adult will be eligible to get a vaccine by may 1 more than 95 million shots have been administered 33 million americans ,nan,nan,0,0,neutral
rt realdlhughley trump wants credit for the vaccine does he also want credit for the thousands of people who died cuz they believed him ,nan,nan,1,1,neutral
rt anthonycwalker this covid relief bill is nothing but an attempt to buy our loyalty ,"['relief', 'loyalty']",nan,2,0,Positive
rt ianehita coprpostmarch18 marcomendicino citimmcanada pattyhajdu jasrajshallan also those with family members in canada aren t imm ,nan,nan,0,0,neutral
rt h mitchellphoto this is just a quick reminder that trump had absolutely nothing to do with the development of the pfizer vaccine ,['trump'],nan,1,0,Positive
rt murphysically ltgovnunez cosmopolitan say i have 250 000 will you open a vaccine clinic in my neighborhood would it need to be d ,nan,nan,0,0,neutral
rt henrymakow er doctor we re being deceived and manipulated i have never seen a patient sick with covid 19 ,nan,nan,1,1,neutral
rt ronjeffries what matters how about being smart enough to take expert advice and go for the vaccine evolution is too slow to wait fo ,"['smart', 'enough']",nan,2,0,Positive
rt mikenelson247 well as the storm evolves amp gets closer it is looking less impressive sorry snow fans decent march storm for den ,"['well', 'impressive', 'fans', 'decent']",nan,4,0,Positive
rt elenee dao govinslee is requiring schools in wa to now offer both in person and remote learning options this will be done through ,nan,nan,0,0,neutral
rt b lew227 godiva choclat snow blacck so he paid for him and his girl and he s a bum shit don t even add up,nan,"['bum', 'shit']",0,2,Negative
rt ellie 00 you can register your phone number to 999 by just texting them register this means you can text the emergency services if ,nan,['emergency'],0,1,Negative
rt drbrucescott so many countries have stopped the astra zeneca vaccine for covid19 will the scottish msm cover this i think not bbc ,nan,['not'],0,1,Negative
 dragoneater99 authorconfusion good the vaccine doesn t mean you can t get it and can t spread it it just means ,['good'],nan,1,0,Positive
 swin24 mollyjongfast oh yes he did vaccine came after 370 000 died because of his lack of honesty and integrity ,nan,"['died', 'lack']",0,2,Negative
rt sorobotic there s a woman in town dressed as dolly parton singing vaccine vaccine to the tune of jolene and i can t tell is she for ,nan,nan,0,0,neutral
 snow blacck spyrokush i m so confused i thought she was just pissed she had to subsidize them she didn t want ,nan,nan,1,1,neutral
rt robinmonottibot why big pharma needs the pandemic going at least til late june vaccine authorization not approval is temporary pend ,nan,nan,1,1,neutral
the school anticipates residence halls running at 80 of capacity and athletic events having fans in the stands ,['fans'],nan,1,0,Positive
rt gregabbott tx today texas set a new one day record by giving 270 523 covid vaccine shots to texans more than 55 of seniors have rec ,nan,nan,0,0,neutral
rt manu nr1 there are approx 40 trillion bacteria fungi and 380 trillion virus interacting in our body to build our immune system and s ,nan,['virus'],0,1,Negative
rt llertorben mantinirita in denmark there is a death after this was vaccinated with the vaccine so it is put on hold in this country ,nan,['death'],0,1,Negative
getting yr vaccine inside the raceway feels like yr at kings dominion the background music the sound of the fans ,"['like', 'fans']",nan,2,0,Positive
rt illinoisrivals quick name one athlete at any level who has contracted covid by playing their sport any hospitalizations ,nan,nan,0,0,neutral
rt strandjunker the amount of damage fox news has caused is probably incalculable they are responsible for hundreds of thousands more co ,nan,['damage'],0,1,Negative
rt theneedledrop plan your vaccine day fit ,nan,nan,0,0,neutral
rt ziggystardad7 forseti pazzo jonsmith922 theresapelegano ahrehead raginxcajun taidecker jdw714 atumpkins11 sinner lilith rock ,nan,nan,0,0,neutral
who would have thunk covid would have been a modified cloward piven strategy ,nan,nan,0,0,neutral
 ronsarkar i had my first shot two weeks ago with the second coming up on the 25th i had the maderna vaccine and w ,nan,nan,0,0,neutral
 fejimanz i looked it up last time the covid relief bill was signed dec 27th and my direct deposit showed up dec ,['relief'],nan,1,0,Positive
rt thattimwalker this is what happens when you ve a pillock in charge who boasted about shaking hands with covid19 patients ,nan,nan,0,0,neutral
rt hyphynhumble i had a dream last night that i went to go get the rona vaccine amp they gave me a shot on my neck like a chip,['like'],nan,1,0,Positive
cuomo s greatest crime creating policies so his assistant s family and donors could make millions from covid pati ,nan,nan,1,1,neutral
rt chrsdle covid 10pm 5am covid 5 01am 9 59pm ,nan,nan,0,0,neutral
 mollyjongfast erictopol you should always wash fruits and vegetables though covid or not ,nan,['not'],0,1,Negative
 nygovcuomo you caused a disaster in ny with your covid failures and now trying to hide from 7 women you molested you are history soon,nan,"['disaster', 'failures']",0,2,Negative
rt abc new vice pres kamala harris celebrates signing of covid relief bill the president promised help is on the way and today help ,"['relief', 'promised']",nan,2,0,Positive
rt pmc1bai cromwellstuff a friend of mine was admitted to hospital on monday with blood clot in her leg 2 weeks after having the her 1s ,nan,nan,0,0,neutral
rt adamwagner1 have to log out but this is the point at 3pm today every police force in england was saying protest could never be lawfu ,nan,['protest'],0,1,Negative
rt tyleroakley tips fedora at vaccine appointment m derna,nan,nan,0,0,neutral
rt whcos when he took office potus said he would fight covid with a new whole of government effort the dedicated service of our men ,['dedicated'],nan,1,0,Positive
rt medical xpress vaccine induced antibodies may be less effective against several new sars cov 2 variants study cellcellpress ,['effective'],nan,1,0,Positive
 tiredofhate1 did trump take it he and melania had covid and recovered ,['trump'],nan,1,0,Positive
fuck you you crazy lunatic wuhan quid pro quo pedo cheating bastard shove your vaccine up your ass ,nan,"['fuck', 'crazy', 'lunatic', 'cheating', 'bastard']",0,5,Negative
vaccine shot 1 got a fist bump from the governor as well ,nan,"['fist', 'bump']",0,2,Negative
rt nuigalway we light the quad tonight to mark 1 year since our campus closed due to covid 19 as a message of hope two music and nuigd ,nan,nan,0,0,neutral
rt bmj latest what can we learn from the past pandemic history suggests we must brace ourselves for another year of uncertainty and co ,nan,nan,0,0,neutral
rt msnbc dr fauci says despite vaccines it is unlikely that we will eradicate covid 19 in the near future because of its widesprea ,nan,['unlikely'],0,1,Negative
 kspokesfan cwebb osu no it wasn t covid big man of course not ,nan,['not'],0,1,Negative
rt sengarypeters michigan s one two punch in the senate is proud to be whitehouse today covid relief for our state is on the way ,"['proud', 'relief']",nan,2,0,Positive
rt johntory the city is now pleased to announce additional city run clinics are being brought online with each of the six clinics operati ,['pleased'],nan,1,0,Positive
rt resistersis20 please vote and rt covid19 vaccine data i ,nan,nan,0,0,neutral
rt swaggrry if harry styles had covered take me to church by hozier covid wouldn t exist,nan,nan,0,0,neutral
rt mediajernyc i asked my mom if she felt any side effects from her second vaccine shot today and she said an acute appreciation for sci ,nan,nan,0,0,neutral
rt resistersis20 please vote and rt covid19 vaccine data i ,nan,nan,0,0,neutral
rt senschumer thank you president biden thank you vice president harris thank you speaker pelosi together democrats delivered b ,nan,nan,1,1,neutral
rt georgemonbiot if this isn t a resigning matter we can kiss goodbye to any notion of standards in public life ,nan,nan,0,0,neutral
rt cnnbusiness president joe biden has directed states to allow all adult americans to be eligible to receive a covid 19 vaccine by ma ,nan,nan,0,0,neutral
rt naomirwolf most of us forgot that the astrazeneca trials had to be put on hold oh just 6 months ago for adverse reactions now 12 coun ,nan,['adverse'],0,1,Negative
 mayordaniella govrondesantis mayor how can i make an appointment to take my 71 yr old sister to get the johnson amp ,nan,nan,0,0,neutral
rt biellacoleman covid teaching question would it be safer to be in a large lecture hall with say 150 masked students who generally don ,nan,nan,0,0,neutral
statement of dr steven velabo shongwe who representative on first covid 19 covax vaccine in sierra leone ,nan,nan,0,0,neutral
rt trishfortrump why would bill gates get any money from the covid stimulus 3 5 billion for bill gates s foundation hidden in the democ ,nan,nan,0,0,neutral
rt alexanderodoran mffbalek ty yeah the only reason i have held off on calling for generalstrike was bc of covid19 now that we hav ,nan,nan,0,0,neutral
rt swaggrry if harry styles had covered take me to church by hozier covid wouldn t exist,nan,nan,0,0,neutral
rt sparkplugsk8 covid sucks bro worst part is having no taste or smell aside from almost dying,nan,"['sucks', 'worst', 'smell', 'dying']",0,4,Negative
rt abc new vice pres kamala harris celebrates signing of covid relief bill the president promised help is on the way and today help ,"['relief', 'promised']",nan,2,0,Positive
rt vp every adult will be eligible to get a vaccine by may 1 more than 95 million shots have been administered 33 million americans ,nan,nan,0,0,neutral
absolute bs according to date published today on has thousands of vaccines in fridges ford et al cannot vaccine ,nan,['bs'],0,1,Negative
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
 goonerhip anderson5000 ah yes wait your english are shorting london of vaccine ,nan,nan,0,0,neutral
rt truenorthcentre prime minister justin trudeau accused the conservative party of denying the existence of the covid 19 pandemic and opp ,nan,"['conservative', 'denying']",0,2,Negative
post covid stress disorder another emerging consequence of the global pandemic via psychtimes,nan,"['stress', 'disorder']",0,2,Negative
rt vbell reports here comes an angel out of left field and she is booking an appointment like she is taking out a pizza tim barnes say ,"['angel', 'like']",nan,2,0,Positive
rt nuigalway we light the quad tonight to mark 1 year since our campus closed due to covid 19 as a message of hope two music and nuigd ,nan,nan,0,0,neutral
quickly your smart start to the weekend includes a vaccine honor system a body pulled from lake michigan and ,"['smart', 'honor']",nan,2,0,Positive
rep jan schakowsky and 10 other house members expressed their constituents frustration and confusion over vac ,nan,"['frustration', 'confusion']",0,2,Negative
rt thebradfordfile every democrat who got a vaccine owes trump a thank you including joe biden ,"['trump', 'thank']",nan,2,0,Positive
rt bethrigby brexit britain s exports eu down more than 40 in jan eu imports down 28 8 ons said it largest monthly fall in goods exp ,nan,['fall'],0,1,Negative
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt raiders snow place like vegas ,['like'],nan,1,0,Positive
san benito county and other jurisdictions will be reclassified because the state met its first vaccine equity goal ,nan,nan,0,0,neutral
novavx reports its covid 19 vaccine is 96 efficacious ,['efficacious'],nan,1,0,Positive
my mom just called me to let me know she got her vaccine shot today after weeks of pestering her to get it she dec ,nan,nan,0,0,neutral
rt kyleclark governor jaredpolis in the comments helping individual coloradans navigate the vaccine signups online say what you will ab ,['helping'],nan,1,0,Positive
 whiteyppg my gay friends are all women or way too picky or only into hookups or blowjobs witch is the fucking wors ,nan,"['picky', 'fucking']",0,2,Negative
rt gopchairwoman biden spent the majority of his speech last night misleading the american people on the vaccine it is only thanks to ,nan,['misleading'],0,1,Negative
rt hilliatfields why did they call it covid road map amp not the road to demask us ,nan,['not'],0,1,Negative
 emergency teds campievanbears bearemyted wool f gang dcmonkey3 reddy1408 fredtedhug kathyh48308259 ,nan,['emergency'],0,1,Negative
rt aarze my old coworker shared w us that if you are not eligible priority for the vaccine right now you can still get in touch with ,nan,nan,1,1,neutral
 eliasshilazi they couldn t have realistically done transatlantic euros and ncaas in one week especially with covid restrictions ,nan,nan,0,0,neutral
rt kurteichenwald when i traveled hours to get my vaccine i went though a lot of rural texas i saw these signs saying things like jesu ,['like'],nan,1,0,Positive
7 even if children were a major driver of transmission of covid 19 it would show our failure as a society to shirk ,nan,"['failure', 'shirk']",0,2,Negative
rt goahealth covid 19 vaccinations expand march 15 with phase 2a alberta s vaccination program is expanding to include 437 000 albertans ,nan,nan,0,0,neutral
rt projectlincoln 530 000 americans have lost their lives from covid ,nan,['lost'],0,1,Negative
rt justintrudeau update on delivery schedules from pfizer we ll now get at least 1 million doses of their covid 19 vaccine each week fro ,nan,nan,0,0,neutral
rt jameskosur moderna received the genetic information about sars cov 2 and within 2 days had designed its mrna based vaccination the ,nan,nan,0,0,neutral
rt derrickdmv me before covid vs now ,nan,nan,0,0,neutral
rt strandjunker the amount of damage fox news has caused is probably incalculable they are responsible for hundreds of thousands more co ,nan,['damage'],0,1,Negative
rt fiorella im too many americans are a bunch of sheep mandatory vaccines shouldn t be a thing for covid as someone who had it it do ,nan,nan,0,0,neutral
rt resistersis20 please vote and rt covid19 vaccine data i ,nan,nan,0,0,neutral
 taegilf aquaboulevard centerparcsfr i went there so many times but one time i got flu and was really ill,nan,nan,0,0,neutral
 qldhealthnews and what test was used to get a positive result the guy who came up with the pcr test said that it ,['positive'],nan,1,0,Positive
ffs covid robbed us of a championship ,nan,nan,0,0,neutral
don t protest covid restrictions ignore the stupid ones and move on see your friends bbq with neighbors th ,nan,"['protest', 'ignore', 'stupid']",0,3,Negative
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt jawalker fyi one reason sol is still at qp today when the legislature isn t sitting is because he s filming a public health psa to fi ,nan,nan,0,0,neutral
 txst thr researchers team up with the non profit movability to gather new data about how routines and lifestyle ,nan,nan,0,0,neutral
rt w terrence joe biden is a thief who is looking for us to support him stealing credit for trumps vaccine plan ,nan,nan,1,1,neutral
fox host says biden should stop talking about americans killed by covid because it makes trump look bad rotflmao ,nan,"['killed', 'bad']",0,2,Negative
 davidmweissman apply to cuomo combined with his bullying and the misrepresentation on covid he should resign i st ,nan,"['bullying', 'misrepresentation']",0,2,Negative
rt mojos55 do people know the gov is considering arresting people under the mental health act if they refuse a vaccine ,nan,['refuse'],0,1,Negative
maybe the vaccine doesn t really do anything ,nan,nan,0,0,neutral
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt macandriles whatever you do don t imagine mac and riley being called to an emergency meeting at their child s school don t imagine t ,nan,['emergency'],0,1,Negative
rt aliceeire disgraceful that eu joined forces with usa to actively block tripswaiver at wto meeting that temporary waiver would have ,nan,['disgraceful'],0,1,Negative
i ll be glad when i get this vaccine my care for this virus is running really low today,nan,nan,1,1,neutral
rt sensanders today my colleagues and i sent a letter to secblinken asking him to urge the israeli government to make sure that all pale ,nan,['pale'],0,1,Negative
rt georgemonbiot if this isn t a resigning matter we can kiss goodbye to any notion of standards in public life ,nan,nan,0,0,neutral
rt thelaurenchen if they put chick fil a in charge of vaccine distribution everyone who wants the shot would have it by the end of the m ,nan,nan,0,0,neutral
rt bettemidler i don t know abcnews says the biden administration hasn t been giving enough credit to donald s vaccine strategy but ho ,['enough'],nan,1,0,Positive
off guardian kit knightly tanzania the second covid coup ,nan,nan,0,0,neutral
rt projectlincoln nearly 2 200 000 americans receive the vaccine every single day ,nan,nan,0,0,neutral
to assist smallbiz w adapting operations amid covid 19 the cityofsandiego is offering grants up to 3k to bizs c ,nan,nan,0,0,neutral
rt repkatieporter one year ago today i pressed the former head of the cdc to make covid tests free for all despite his promise and laws ,"['free', 'promise']",nan,2,0,Positive
rt tyleroakley tips fedora at vaccine appointment m derna,nan,nan,0,0,neutral
rt kaitlancollins it will get to the point where we have more vaccines than people who want to take the vaccine jen psaki says noting ,nan,nan,0,0,neutral
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
rt sharylattkisson according to the vaccine adverse event reports the odds aren t as long as you might think ,nan,['adverse'],0,1,Negative
rt jasonmillerindc in other words biden s vaccine distribution goal has been to do as well as president trump vaccinations had reac ,"['well', 'trump']",nan,2,0,Positive
rt mitchellbyars lauraannguy mattkelsch well but is that jinx counteracted by the jinx forecasting all this snow in the first place cr ,['well'],nan,1,0,Positive
 bramnyc naddelke cbssports that was a unique 8 team final tournament due to covid i honestly don t know the ful ,nan,nan,0,0,neutral
rt torontostar opinion an ongoing legacy of systemic racism colonialism and trauma has left many indigenous people with a distrust of ,nan,"['racism', 'trauma', 'distrust']",0,3,Negative
rt jakeellzey today biden signed the democrat s relief package which adds 1 9 trillion to our national debt under the name of covi ,nan,nan,1,1,neutral
rt bnodesk breaking most of italy to be put on coronavirus lockdown from monday ,nan,['breaking'],0,1,Negative
rt jasonhickel this is devastating news global south countries have been fighting for the right to manufacture and import affordable ve ,"['right', 'affordable']",nan,2,0,Positive
rt gregabbott tx today texas set a new one day record by giving 270 523 covid vaccine shots to texans more than 55 of seniors have rec ,nan,nan,0,0,neutral
rt cbcqueenspark new premier doug ford has apologized to mpp sol mamakwa for wrongly accusing him of jumping the line for a covid19 v ,nan,"['wrongly', 'accusing']",0,2,Negative
rt cp24 major amazon fulfillment centre in brampton ordered to shut down entirely due coronavirus outbreak peel public health says thous ,nan,nan,1,1,neutral
rt mandatheginger friends a reminder bmi is garbage science but if you re bmi 30 and that makes you eligible for the vaccine whe ,nan,['garbage'],0,1,Negative
lol it say snow on tuesday ,nan,nan,0,0,neutral
rt saskhealth icymi today the skgov issued this release regina residents urged to take additional precautions due to increasing comm ,nan,nan,0,0,neutral
rt morrisseyhelena a must read by lionel shriver in the latest spectator ccp covid freedom democracy ,['freedom'],nan,1,0,Positive
rt walkabout24 is the flu transviral because it now self identifies as covid ,nan,nan,0,0,neutral
rt swaggrry if harry styles had covered take me to church by hozier covid wouldn t exist,nan,nan,0,0,neutral
rt pasmallbusiness join the pasbdc on monday march 22nd at 7 p m for the tax implications of the cares act no cost webinar register ,nan,nan,0,0,neutral
rt lolgop biden is making it as easy to get a covid 19 vaccine as trump did to get covid 19 ,"['easy', 'trump']",nan,2,0,Positive
rt globeandmail when the music s over covid 19 decimated the arts in canada and the worst may be yet to come ,nan,['worst'],0,1,Negative
 jason meister jason meister trump turned down enough vaccine to protect 100 million people ,"['trump', 'enough', 'protect']",nan,3,0,Positive
a year of risk fear and loss for families in medicine ,nan,"['risk', 'fear', 'loss']",0,3,Negative
rt berniespofforth the lockdown response to covid has created a massive financial and cultural gap between the wealthy and the poor whe ,nan,nan,1,1,neutral
 darealminitoon yes pony has the flu or covid i knew it,nan,nan,0,0,neutral
rt ltgovhochulny great to be joined this morning by the president of the buffalonaacp reverend mark blue we received the johnson amp j ,['great'],nan,1,0,Positive
rt mmpadellan there are few incumbent gop senators as vulnerable as marco rubio who voted against covid relief you can help us defeat h ,"['relief', 'defeat']",nan,2,0,Positive
sent mr omg a website that my work told me about where i can schedule the vaccine and then he went took the last appointment ,['work'],nan,1,0,Positive
got my first dose moderna vaccine covidvaccine,nan,nan,0,0,neutral
rt martinheinrich this is what competence looks like ,['like'],nan,1,0,Positive
rt johnpavlovitz breaking joe biden is crushing this presidency and republicans are rightly terrified while we re getting vaccines co ,nan,"['breaking', 'crushing']",0,2,Negative
rt b lew227 godiva choclat snow blacck so he paid for him and his girl and he s a bum shit don t even add up,nan,"['bum', 'shit']",0,2,Negative
rt ewerickson spring breakers in florida super spreaders george floyd rioters nope small business owner who protested to open up sup ,nan,nan,1,1,neutral
rt oversabi12 palliative no reach us but now wey vaccine don comot una want make e reach all of us make una hide d vaccine with d same ,nan,nan,0,0,neutral
a year on and there s less talk about targeted aid and more talk of universalism ,nan,nan,0,0,neutral
rt cnnpolitics president biden hails a change in paradigm as he celebrates the passage of his 1 9 trillion covid 19 relief measure htt ,['relief'],nan,1,0,Positive
potential covid exposure in central zone anyone at this place at this time should book a test whether or not they ,nan,['not'],0,1,Negative
then use your own money for every 1 4000 stimulus check received it puts every family over 85 000 of future de ,nan,nan,0,0,neutral
rt allonmedicare a single vaccine appointment web site is a good idea potus think about what a single payer could do ,['good'],nan,1,0,Positive
 einekleinekerry reporting that vf patients just as susceptible to getting covid 19 as others but if they ve got d ,nan,['susceptible'],0,1,Negative
rt johnpavlovitz breaking joe biden is crushing this presidency and republicans are rightly terrified while we re getting vaccines co ,nan,"['breaking', 'crushing']",0,2,Negative
rt idph vaccine appointment call center open 7 days a week at 833 621 1284 with vaccine allocations increasing illinois launches call ,nan,nan,0,0,neutral
 scottgottliebmd question why is the largest and most diverse county in md montgomery county receiving such a s ,nan,nan,0,0,neutral
rt mojos55 do people know the gov is considering arresting people under the mental health act if they refuse a vaccine ,nan,['refuse'],0,1,Negative
rt asthmauk responding to the tweet from 10downingstreet regarding asthma and the covid vaccine priority groups this morning at 9 50am ,nan,nan,0,0,neutral
rt meiselasb the gqp be like we don t believe in vaccines and we don t believe covid is a public health concern but please give credit ,nan,nan,1,1,neutral
rt uofdenver governor polis recently included student facing faculty and staff working in higher education in phase 1b 4 of the state s v ,nan,nan,0,0,neutral
rt abcpolitics i wish i could come out and shake hands with every one of you pres biden says at rose garden ceremony celebrating pass ,nan,['shake'],0,1,Negative
 kidinahoodie ilmarimttnen ab2kgr erictopol pfizer did not accept any us government funds in order to develop th ,nan,['not'],0,1,Negative
rt repdarrellissa democrats are taking credit for the vaccine and blaming trump for the border crisis ,nan,nan,1,1,neutral
rt senduckworth pregnant and lactating individuals have received conflicting information about the covid 19 vaccine and they deserve answ ,nan,['conflicting'],0,1,Negative
rt dereksloancpc couldn t agree more cpc hq can t find it within themselves to oppose the vaccine passport when even the ndp are agai ,nan,['oppose'],0,1,Negative
excellent piece houstonchron although latino black amp lower income communities in houston have been ravaged ,['excellent'],nan,1,0,Positive
rt peterhotez my interview with toiindianews ,nan,nan,0,0,neutral
rt heat dish bkives not only is it not comforting only 2 098 people received a shot yesterday that s province wide am i correct in ,"['comforting', 'correct']",nan,2,0,Positive
rt senatortimscott if president biden truly wants unity he should give credit where it s due the trump administration delivered vacci ,"['unity', 'trump']",nan,2,0,Positive
 dius52871538p rain and snow in the desert is an event ,nan,['desert'],0,1,Negative
rt caulmick it s the way you tell it 1 minister for health has confirmed that astrazeneca has committed to doing everything they can ,nan,nan,0,0,neutral
rt fritzpape for all cinci folks the library is going to be providing free take home 15 minute covid tests at drive thrus starting next ,['free'],nan,1,0,Positive
i found 29 appts at hmh meadowlands keep refreshing don t give up try different browse ,['refreshing'],nan,1,0,Positive
rt akoseff he said a lot without really saying anything about why a whole region of the state was essentially left out of california s va ,nan,nan,0,0,neutral
rt scdhec dhec has updated the covid 19 vaccine allocation totals on our website ,nan,nan,0,0,neutral
so very true for many of us can t stand this whipped up hysteria by government amp msm over a strong flu what about ,nan,nan,1,1,neutral
rt ukgovscotland the uk has secured an additional 40 million doses of the valnevase vaccine which is manufactured in livingston scotl ,nan,nan,0,0,neutral
rt martinu1977 we re partnering with inredcross to help educate our communities about the covidvaccine learn how the vaccine is safe ,['safe'],nan,1,0,Positive
rt kevzpolitics covidat1 take a look at our bar chart illustrating timeline of total confirmed covid 19 cases across caricom from march ,nan,nan,0,0,neutral
rt anthonyfurey what is it that ontario s actually trying to accomplish now with its covid 19 response what s the objective what s the ,['accomplish'],nan,1,0,Positive
rt meenaharris okay yes the vaccine gives me lots of hope but y all are re opening indoors way too fast ,['fast'],nan,1,0,Positive
piedmont triad intl airport nc mar 12 climate hi 76 lo 51 precip 0 0 snow 0 0 ,nan,['mar'],0,1,Negative
fayetteville regl airport nc mar 12 climate hi 81 lo 49 precip 0 0 snow m ,nan,['mar'],0,1,Negative
raleigh durham intl airport nc mar 12 climate hi 80 lo 54 precip 0 0 snow 0 0 ,nan,['mar'],0,1,Negative
